Date,SM1_10cm,SM1_30cm
2024-04-30 11:50:35,33.19397018,31.22312813
2024-04-30 15:57:58,33.12081225,31.22312813
2024-04-30 20:10:23,32.97515665,31.22312813
2024-05-01 04:41:25,32.83036953,31.22312813
2024-05-01 07:43:21,32.90265542,31.29095313
2024-05-01 11:51:50,32.97515665,31.35895247
2024-05-01 20:11:32,32.75829719,31.29095313
2024-05-02 02:59:08,32.61478605,31.29095313
2024-05-02 11:21:07,32.68643663,31.35895247
2024-05-02 19:41:56,32.40107644,31.29095313
2024-05-02 19:48:30,32.40107644,31.29095313
2024-05-03 04:21:06,32.330248,31.22312813
2024-05-03 12:40:10,32.40107644,31.29095313
2024-05-03 18:25:09,32.18919258,31.29095313
2024-05-03 23:32:49,32.04892723,31.22312813
2024-05-04 08:01:48,32.18919258,31.29095313
2024-05-04 13:53:39,32.18919258,31.35895247
2024-05-04 22:10:06,31.90943769,31.22312813
2024-05-05 06:36:16,31.97908638,31.22312813
2024-05-05 14:51:27,32.04892723,31.22312813
2024-05-05 23:19:16,31.83997939,31.1554757
2024-05-06 03:34:26,31.90943769,31.1554757
2024-05-06 07:49:42,32.90265542,31.1554757
2024-05-06 16:14:18,33.26735057,31.632729
2024-05-06 19:57:50,33.19397018,31.56401443
2024-05-07 00:14:01,33.047875,31.49548134
2024-05-07 04:32:22,33.047875,31.49548134
2024-05-07 08:45:30,33.12081225,31.56401443
2024-05-07 17:07:05,32.97515665,31.49548134
2024-05-08 01:32:49,32.75829719,31.49548134
2024-05-08 10:00:16,32.90265542,31.49548134
2024-05-08 18:22:19,32.90265542,31.42712795
2024-05-09 02:52:00,32.90265542,31.42712795
2024-05-09 11:19:16,32.97515665,31.42712795
2024-05-09 19:44:02,32.90265542,31.42712795
2024-05-10 00:47:19,32.83036953,31.42712795
2024-05-10 05:47:30,32.83036953,31.35895247
2024-05-10 09:59:00,32.97515665,31.49548134
2024-05-10 14:05:47,32.97515665,31.49548134
2024-05-10 22:28:39,32.68643663,31.42712795
2024-05-11 05:50:03,32.68643663,31.42712795
2024-05-11 14:04:34,32.68643663,31.49548134
2024-05-11 22:24:01,32.40107644,31.35895247
2024-05-12 06:54:09,32.40107644,31.42712795
2024-05-12 15:06:27,32.330248,31.49548134
2024-05-12 15:11:36,32.330248,31.49548134
2024-05-12 23:32:23,31.90943769,31.35895247
2024-05-13 03:48:06,31.90943769,31.35895247
2024-05-13 07:57:40,32.04892723,31.42712795
2024-05-13 16:04:15,31.97908638,31.49548134
2024-05-14 00:24:53,31.632729,31.29095313
2024-05-14 04:39:12,31.632729,31.29095313
2024-05-14 08:46:18,31.7707097,31.42712795
2024-05-14 16:52:53,31.632729,31.42712795
2024-05-14 21:02:26,31.42712795,31.29095313
2024-05-15 01:16:36,31.42712795,31.22312813
2024-05-15 09:38:32,31.49548134,31.29095313
2024-05-15 17:46:22,31.35895247,31.29095313
2024-05-16 02:13:12,31.02068142,31.1554757
2024-05-16 10:31:23,31.22312813,31.22312813
2024-05-16 14:21:09,31.08799406,31.22312813
2024-05-16 22:04:45,30.8197397,31.1554757
2024-05-17 06:32:30,30.88655602,31.1554757
2024-05-17 10:38:57,30.88655602,31.1554757
2024-05-17 18:50:40,30.62025488,31.08799406
2024-05-18 03:21:29,30.48805061,31.02068142
2024-05-18 11:36:48,30.62025488,31.1554757
2024-05-18 19:45:57,30.22546341,31.02068142
2024-05-19 04:13:56,30.16018566,30.953536
2024-05-19 12:23:43,30.16018566,31.08799406
2024-05-19 20:33:57,29.77148198,30.953536
2024-05-20 00:46:28,29.77148198,30.88655602
2024-05-20 04:59:03,29.77148198,30.88655602
2024-05-20 09:08:31,29.7071752,30.88655602
2024-05-20 17:20:47,29.45124608,30.88655602
2024-05-21 01:48:34,29.32403538,30.75308526
2024-05-21 06:02:32,29.32403538,30.75308526
2024-05-21 10:10:26,29.26061225,30.8197397
2024-05-21 18:22:23,28.94524759,30.75308526
2024-05-22 02:51:10,28.88251238,30.62025488
2024-05-22 11:09:30,28.81988559,30.68659091
2024-05-22 19:23:25,28.5083155,30.62025488
2024-05-23 03:50:40,28.44630178,30.55407537
2024-05-23 12:05:22,28.26082914,30.55407537
2024-05-23 20:18:46,27.95349625,30.42217882
2024-05-24 04:18:35,27.70911097,30.290887
2024-05-24 12:35:17,27.89228186,30.42217882
2024-05-24 20:48:19,27.70911097,30.290887
2024-05-25 05:11:54,27.70911097,30.22546341
2024-05-25 13:25:54,27.770091,30.35645821
2024-05-25 21:39:07,27.52661111,30.42217882
2024-05-27 00:25:16,26.98265652,30.290887
2024-05-27 04:37:20,26.98265652,30.290887
2024-05-27 08:45:22,26.98265652,30.35645821
2024-05-27 16:56:11,26.562625,30.16018566
2024-05-28 01:18:58,26.50279755,30.16018566
2024-05-28 05:30:13,26.562625,30.22546341
2024-05-28 05:58:49,26.62249315,30.22546341
2024-05-28 10:06:37,26.62249315,30.22546341
2024-05-28 18:14:33,26.62249315,30.16018566
2024-05-29 02:37:01,26.562625,30.22546341
2024-05-29 10:56:40,26.68240378,30.35645821
2024-05-29 19:05:49,26.562625,30.22546341
2024-05-30 03:31:26,26.50279755,29.90049741
2024-05-30 11:45:17,26.562625,29.90049741
2024-05-30 12:44:13,26.50279755,29.90049741
2024-05-30 20:57:19,26.26385912,29.643
2024-05-31 02:20:00,26.20420845,29.5789546
2024-05-31 04:48:08,26.20420845,29.643
2024-05-31 13:01:24,26.08499534,29.51503722
2024-05-31 21:14:36,25.84687218,29.32403538
2024-06-01 05:35:53,25.90636954,29.26061225
2024-06-01 10:56:37,25.78739414,29.19730823
2024-06-02 22:37:36,25.07451563,28.26082914
2024-06-03 02:50:27,25.07451563,28.26082914
2024-06-03 06:58:34,25.13390087,28.26082914
2024-06-03 11:03:19,25.01512653,28.01479233
2024-06-03 19:14:54,24.777496,27.52661111
2024-06-03 20:15:17,24.777496,27.52661111
2024-06-03 23:01:40,24.777496,27.52661111
2024-06-04 00:26:18,24.777496,27.46591863
2024-06-04 04:38:49,24.777496,27.52661111
2024-06-04 08:47:47,24.71806092,27.34473416
2024-06-04 12:53:24,24.6586113,27.04285946
2024-06-04 17:12:23,24.53966131,26.74235867
2024-06-05 01:33:37,24.42063177,26.68240378
2024-06-05 09:53:50,24.30150842,26.50279755
2024-06-05 17:59:14,24.24190711,26.26385912
2024-06-06 02:29:38,24.182277,26.32354159
2024-06-06 06:42:45,24.30150842,26.32354159
2024-06-06 10:51:54,24.30150842,26.14458778
2024-06-06 11:44:51,24.30150842,26.08499534
2024-06-06 15:12:31,24.30150842,25.84687218
2024-06-06 19:22:52,24.24190711,25.72793363
2024-06-06 23:28:00,24.182277,25.72793363
2024-06-06 23:35:26,24.182277,25.72793363
2024-06-07 08:02:49,24.30150842,25.72793363
2024-06-07 16:16:19,24.182277,25.19328405
2024-06-08 00:42:37,24.06292326,25.13390087
2024-06-08 09:06:42,24.06292326,25.07451563
2024-06-08 16:44:50,23.6440161,25.01512653
2024-06-09 01:12:43,23.6440161,25.07451563
2024-06-09 06:54:50,23.70398558,25.13390087
2024-06-09 13:47:28,23.6440161,24.9557318
2024-06-09 22:12:49,23.88363212,25.43083173
2024-06-10 02:27:24,23.88363212,25.43083173
2024-06-10 06:41:17,24.36108271,25.60905809
2024-06-10 10:52:24,24.182277,25.43083173
2024-06-10 19:13:53,24.30150842,25.66848888
2024-06-10 21:31:26,24.36108271,25.66848888
2024-06-11 01:46:16,24.36108271,25.72793363
2024-06-11 05:59:56,24.48015738,25.78739414
2024-06-11 10:08:32,24.48015738,25.72793363
2024-06-11 14:25:50,24.48015738,25.60905809
2024-06-11 22:45:35,24.42063177,25.54963949
2024-06-12 02:47:07,24.48015738,25.54963949
2024-06-12 11:04:36,24.59914536,25.60905809
2024-06-12 19:23:01,24.59914536,25.4902313
2024-06-13 03:49:46,24.71806092,25.54963949
